uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF
"f012f2a7-4be5-44b0-b079-969baa4e868a","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","distributed","dwarfScrub","41_400",39.0,36.0,"WGS84",68.560148,-149.528532,20.1,834.7,0.10,"NEON.DOC.014048vO","2022-07-17T19:28Z","2022-07-17T19:28Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_005-O-41-20220717","A00000309449","N","O","OK",1.2,0.0,0.0,19.3,"obstruction","brownie cutter",1,"TOOL_005-O-41-20220717-GEN","B00000145636","OK","dry ice",,"C00000111279",,"C00000111284",,,,,,,"dry ice",,"TOOL_005-O-41-20220717-BM","B00000145778","OK","Hit active layer","0000-0003-0776-7397",
"7d57bde7-4aae-40e6-abc4-f0d2b294c013","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","distributed","dwarfScrub","23_400",38.0,17.0,"WGS84",68.560148,-149.528532,20.1,834.7,0.10,"NEON.DOC.014048vO","2022-07-17T20:10Z","2022-07-17T20:10Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_005-O-23-20220717","A00000309450","N","O","OK",2.5,0.0,0.0,13.5,"entire","brownie cutter",1,"TOOL_005-O-23-20220717-GEN","B00000145637","OK","dry ice",,"C00000111340",,"C00000054968",,,,,,,"dry ice",,"TOOL_005-O-23-20220717-BM","B00000145777","OK",,"0000-0003-0776-7397",
"044fa160-656b-40a3-9008-e1cbc6cb46cc","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","distributed","dwarfScrub","23_400",38.0,17.0,"WGS84",68.560148,-149.528532,20.1,834.7,0.10,"NEON.DOC.014048vO","2022-07-17T20:10Z","2022-07-17T20:10Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_005-M-23-20220717","A00000309472","N","M","OK",2.5,0.0,13.5,27.0,"obstruction","brownie cutter",1,"TOOL_005-M-23-20220717-GEN","B00000145669","OK","dry ice",,"C00000111208",,"C00000111194",,,,,,,"dry ice",,"TOOL_005-M-23-20220717-BM","B00000145838","OK","Hit active layer.","0000-0003-0776-7397",
"3d697ab3-d891-447e-8770-c7088d0ed90b","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","distributed","dwarfScrub","21_400",1.0,13.0,"WGS84",68.560148,-149.528532,20.1,834.7,0.10,"NEON.DOC.014048vO","2022-07-17T20:38Z","2022-07-17T20:38Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_005-O-21-20220717","A00000309451","N","O","OK",1.8,0.0,0.0,5.9,"entire","brownie cutter",2,"TOOL_005-O-21-20220717-GEN","B00000145638","OK","dry ice",,"C00000111280",,"C00000111322",,,,,,,"dry ice",,"TOOL_005-O-21-20220717-BM","B00000145776","OK",,"0000-0003-0776-7397",
"f9ad3421-d1dd-48b3-817f-db215837b014","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","distributed","dwarfScrub","21_400",1.0,13.0,"WGS84",68.560148,-149.528532,20.1,834.7,0.10,"NEON.DOC.014048vO","2022-07-17T20:56Z","2022-07-17T20:56Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_005-M-21-20220717","A00000309473","N","M","OK",1.8,0.0,5.9,30.0,"maximum","brownie cutter",1,"TOOL_005-M-21-20220717-GEN","B00000145670","OK","dry ice",,"C00000111365",,"C00000111185",,,,,,,"dry ice",,"TOOL_005-M-21-20220717-BM","B00000145839","OK",,"0000-0003-0776-7397",
"7fb9089f-7a82-4b34-98ff-c50ebb92c177","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","tower","sedgeHerbaceous","23_400",36.5,13.5,"WGS84",68.665514,-149.375519,20.3,821.6,0.21,"NEON.DOC.014048vO","2022-07-17T23:26Z","2022-07-17T23:26Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_043-M-23-20220717","A00000309748","N","M","OK",1.3,0.0,13.0,28.8,"obstruction","PVC tube",1,"TOOL_043-M-23-20220717-GEN","B00000145657","OK","dry ice",,"C00000054994",,"C00000054919",,,,,,,"dry ice",,"TOOL_043-M-23-20220717-BM","B00000145821","OK","Hit active layer","0000-0003-0776-7397",
"24ee29a4-c423-472e-9519-af8d02ce138e","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","tower","sedgeHerbaceous","23_400",36.5,13.5,"WGS84",68.665514,-149.375519,20.3,821.6,0.21,"NEON.DOC.014048vO","2022-07-17T23:26Z","2022-07-17T23:26Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_043-O-23-20220717","A00000309438","N","O","OK",1.3,0.0,0.0,13.0,"entire","PVC tube",1,"TOOL_043-O-23-20220717-GEN","B00000145625","OK","dry ice",,"C00000111289",,"C00000111307",,,,,,,"dry ice",,"TOOL_043-O-23-20220717-BM","B00000145789","OK",,"0000-0003-0776-7397",
"091ece37-455b-4f29-b898-db3dd1fe506e","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","tower","sedgeHerbaceous","41_400",26.5,31.5,"WGS84",68.666666,-149.369752,20.1,827.4,0.10,"NEON.DOC.014048vO","2022-07-18T00:15Z","2022-07-18T00:15Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_041-M-41-20220717","A00000309753","N","M","Thin O horizon present",8.3,0.0,0.0,23.5,"obstruction","brownie cutter",1,"TOOL_041-M-41-20220717-GEN","B00000145662","OK","dry ice",,"C00000111319",,"C00000054997",,,,,,,"dry ice",,"TOOL_041-M-41-20220717-BM","B00000145851","OK",,"0000-0001-6493-4425",
"ffb7923e-a265-463c-922d-c4e8116b4da3","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","tower","sedgeHerbaceous","39_400",14.5,39.0,"WGS84",68.665514,-149.375519,20.3,821.6,0.21,"NEON.DOC.014048vO","2022-07-18T00:15Z","2022-07-18T00:15Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_043-M-39-20220717","A00000309747","N","M","OK",4.1,0.0,14.8,30.0,"maximum","brownie cutter",1,"TOOL_043-M-39-20220717-GEN","B00000145656","OK","dry ice",,"C00000111203",,"C00000111301",,,,,,,"dry ice",,"TOOL_043-M-39-20220717-BM","B00000008086","OK",,"0000-0003-0776-7397",
"1d0bb024-1aa6-4043-9f63-70e03bca45aa","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","tower","sedgeHerbaceous","39_400",14.5,39.0,"WGS84",68.665514,-149.375519,20.3,821.6,0.21,"NEON.DOC.014048vO","2022-07-18T00:15Z","2022-07-18T00:15Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_043-O-39-20220717","A00000309437","N","O","OK",4.1,0.0,0.0,14.8,"entire","brownie cutter",2,"TOOL_043-O-39-20220717-GEN","B00000145624","OK","dry ice",,"C00000054971",,"C00000111270",,,,,,,"dry ice",,"TOOL_043-O-39-20220717-BM","B00000145795","OK",,"0000-0003-0776-7397",
"3440a618-0ca8-4097-97c6-3f5b1f5e8c55","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","tower","sedgeHerbaceous","23_400",39.5,5.0,"WGS84",68.666666,-149.369752,20.1,827.4,0.10,"NEON.DOC.014048vO","2022-07-18T00:45Z","2022-07-18T00:45Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_041-O-23-20220717","A00000309444","N","O","OK",5.9,0.0,0.0,6.5,"entire","brownie cutter",1,"TOOL_041-O-23-20220717-GEN","B00000145631","OK","dry ice",,"C00000054963",,"C00000111335",,,,,,,"dry ice",,"TOOL_041-O-23-20220717-BM","B00000145783","OK",,"0000-0001-6493-4425",
"752f9ae3-3ca9-45e3-ae99-11b9f0f8eabd","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","tower","sedgeHerbaceous","23_400",39.5,5.0,"WGS84",68.666666,-149.369752,20.1,827.4,0.10,"NEON.DOC.014048vO","2022-07-18T00:45Z","2022-07-18T00:45Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_041-M-23-20220717","A00000309754","N","M","OK",5.9,0.0,6.5,23.0,"obstruction","brownie cutter",1,"TOOL_041-M-23-20220717-GEN","B00000145663","OK","dry ice",,"C00000054958",,"C00000111321",,,,,,,"dry ice",,"TOOL_041-M-23-20220717-BM","B00000145846","OK","rock obstruction","0000-0001-6493-4425",
"ed0d5915-8438-4e3b-b4ff-4fd58e1c4d9e","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","tower","sedgeHerbaceous","21_400",11.0,2.5,"WGS84",68.665514,-149.375519,20.3,821.6,0.21,"NEON.DOC.014048vO","2022-07-18T00:52Z","2022-07-18T00:52Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_043-O-21-20220717","A00000309439","N","O","OK",1.6,0.0,0.0,30.0,"maximum","brownie cutter",1,"TOOL_043-O-21-20220717-GEN","B00000145626","OK","dry ice",,"C00000111172",,"C00000111356",,,,,,,"dry ice",,"TOOL_043-O-21-20220717-BM","B00000145788","OK",,"0000-0003-0776-7397",
"7f72f120-ec03-4fcd-8efd-70d9a52be381","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","tower","sedgeHerbaceous","21_400",10.0,1.0,"WGS84",68.666666,-149.369752,20.1,827.4,0.10,"NEON.DOC.014048vO","2022-07-18T00:54Z","2022-07-18T00:54Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_041-O-21-20220717","A00000309445","N","O","OK",4.4,1.0,0.0,14.5,"entire","brownie cutter",1,"TOOL_041-O-21-20220717-GEN","B00000145632","OK","dry ice",,"C00000111187",,"C00000111336",,,,,,,"dry ice",,"TOOL_041-O-21-20220717-BM","B00000145782","OK",,"0000-0001-6493-4425",
"665c0071-9a1c-4f50-a60f-af44a8eae27e","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","tower","sedgeHerbaceous","21_400",10.0,1.0,"WGS84",68.666666,-149.369752,20.1,827.4,0.10,"NEON.DOC.014048vO","2022-07-18T00:58Z","2022-07-18T00:58Z","peakGreenness","OK - no known exceptions","TOOL.peakGreenness.2022",0.0,"tInitial","microbesBiomassBGC","OK","no incubation",,"TOOL_041-M-21-20220717","A00000309755","N","M","OK",4.4,1.0,14.5,25.3,"obstruction","brownie cutter",1,"TOOL_041-M-21-20220717-GEN","B00000145664","OK","dry ice",,"C00000111320",,"C00000111332",,,,,,,"dry ice",,"TOOL_041-M-21-20220717-BM","B00000145845","OK","Hit rocks","0000-0001-6493-4425",
